图书名,国家,作者,出版社,出品方,副标题,原作名,译者,出版年,图书页数,平装定价,精装定价,丛书,ISBN,评分,评论人数,5星百分比,4星百分比,3星百分比,2星百分比,1星百分比,短评数,综评数,在读读者数,已读读者数,想读读者数,读书笔记数
平面国,英国,埃德温·A.艾勃特,上海文化出版社,果麦文化,多维空间传奇往事,,鲁冬旭,2020,216,39.8,0.0,无,9787553520643,9.2,20921,0.696,0.249,0.047,0.006,0.003,9863,457,1307,24029,41035,377
绿毛水怪,中国,王小波,时代文艺出版社,无,无,无,无,2009,322,30.0,0.0,时代文艺出版社 王小波系列,9787538725230,9.1,25145,0.645,0.296,0.0559999999999999,0.003,0.001,5515,342,1036,40820,40008,146
2001：太空漫游,英国,阿瑟·克拉克,上海文艺出版社,读客文化,《太空漫游四部曲》第1部,,郝明义,2019,320,0.0,62.0,读客外国小说文库：阿瑟·克拉克作品,9787532170692,9.3,22115,0.6990000000000001,0.247,0.048,0.003,0.003,8461,2646,1686,48959,48406,296
南京大屠杀,美国,张纯如(Iris Chang),中信出版社,无,第二次世界大战中被遗忘的大浩劫,无,谭春霞 / 焦国林,2015,316,49.0,0.0,无,9787508653389,9.7,18375,0.883,0.104,0.01,0.001,0.001,6843,632,1370,20474,18942,290
你当像鸟飞往你的山,美国,塔拉·韦斯特弗,南海出版公司,新经典文化,无,,任爱红,2019,388,0.0,59.0,无,9787544276986,8.7,189184,0.539,0.3429999999999999,0.0969999999999999,0.015,0.005,68592,5791,21070,230953,254649,6165
我的天才女友,意大利,埃莱娜·费兰特,人民文学出版社,99读书人,那不勒斯四部曲1,L'amica geniale,陈英,2017,330,42.0,0.0,那不勒斯四部曲,9787020120130,8.7,114666,0.513,0.392,0.085,0.008,0.002,36238,1290,10319,151045,133334,2261
长日将尽,英国,石黑一雄,上海译文出版社,无,无,The Remains of the Day,冯涛,2018,337,0.0,48.0,石黑一雄作品,9787532777532,8.9,37125,0.555,0.369,0.069,0.006,0.002,15542,1005,3084,50444,80697,613
故事,美国,罗伯特·麦基,天津人民出版社,果麦文化,材质·结构·风格和银幕剧作的原理,Story,周铁东,2014,522,0.0,68.0,虚构艺术三部曲,9787201088334,9.2,19489,0.675,0.256,0.0579999999999999,0.0069999999999999,0.004,5696,312,8157,25883,86917,1207
经济学原理（上下）,美国,格里高里·曼昆,机械工业出版社,无,无,无,梁小民,2003,733,88.0,0.0,华章教材经典译丛,9787111126768,9.1,22279,0.6759999999999999,0.264,0.054,0.004,0.002,3459,546,7492,36753,73228,152
一句顶一万句,中国,刘震云,长江文艺出版社,长江新世纪,无,无,无,2009,362,0.0,29.8,刘震云作品,9787535439765,8.8,83147,0.527,0.3879999999999999,0.076,0.006,0.002,28559,2034,7141,121416,120908,998
海的女儿,丹麦,安徒生,上海译文出版社,无,无,无,叶君健,1978,150,0.43,0.0,安徒生童话全集,10188-29,9.1,24375,0.638,0.288,0.068,0.004,0.002,2693,120,357,54208,7729,14
國史大綱（上下）,中国,錢穆,商务印书馆,无,无,无,无,2013,914,76.0,0.0,钱穆学术著作,9787100017664,9.4,16367,0.736,0.216,0.039,0.006,0.004,2939,326,7453,23932,74189,741
阿勒泰的角落,中国,李娟,万卷出版公司,万榕书业,无,无,无,2010,280,25.0,0.0,无,9787547010105,9.1,21464,0.622,0.316,0.057,0.003,0.001,6449,514,2710,31214,53103,546
强风吹拂,日本,三浦紫苑,广西师范大学出版社,理想国,无,風が強く吹いている,林佩瑾 / 李建铨 / 杨正敏,2015,434,39.0,0.0,无,9787549559671,9.0,27796,0.648,0.283,0.061,0.006,0.002,11737,508,2011,36495,67465,618
鹿川有许多粪,韩国,李沧东,武汉大学出版社,鹿书deerbook,无,녹천에는 똥이 많다,春喜,2021,314,58.0,0.0,鹿书：李沧东作品,9787307223950,8.9,33580,0.539,0.382,0.072,0.005,0.002,15173,381,1938,38673,85321,826
地下室手记,俄罗斯,陀思妥耶夫斯基,浙江文艺出版社,果麦文化,无,Записки из подполья,曾思艺,2020,216,0.0,39.8,果麦·外国文学经典,9787533960414,9.3,23963,0.6970000000000001,0.249,0.045,0.005,0.003,9827,584,3643,27508,47049,743
檀香刑,中国,莫言,浙江文艺出版社,KEY·可以文化,无,无,无,2017,418,56.0,0.0,莫言作品全编,9787533946647,9.3,31277,0.711,0.244,0.039,0.003,0.003,9913,855,1987,39140,39116,292
德米安,德国,赫尔曼·黑塞,上海人民出版社,世纪文景,埃米尔·辛克莱的彷徨少年时,,丁君君 / 谢莹莹,2009,193,25.0,0.0,赫尔曼·黑塞作品系列,9787208081550,8.9,38058,0.5670000000000001,0.346,0.081,0.005,0.001,12229,925,2779,50639,74975,1667
安娜·卡列尼娜,俄罗斯,列夫·托尔斯泰,上海文艺出版社,无,无,Anna karenina,草婴,2007,788,37.0,0.0,世界十大文学名著,9787532132256,9.2,29734,0.65,0.291,0.052,0.005,0.002,7074,1519,3621,64529,63369,771
一个陌生女人的来信,奥地利,斯蒂芬·茨威格,上海译文出版社,无,无,Brief einer Unbekannten,张玉书,2007,340,20.0,0.0,斯蒂芬·茨威格作品集,9787532741571,8.7,146823,0.478,0.402,0.108,0.009,0.004,32148,2526,5123,228267,118840,520
万水千山走遍,中国,三毛,哈尔滨出版社,华文天下,无,无,无,2003,215,13.8,0.0,三毛全集（华文天下2003版）,9787806399057,8.9,46239,0.555,0.365,0.075,0.004,0.001,5470,410,1311,85656,28614,170
苏菲的世界,挪威,乔斯坦·贾德,作家出版社,无,无,Sofies verden,萧宝森,2007,528,26.0,0.0,贾德名作系列,9787506341271,8.8,58800,0.521,0.37,0.098,0.009,0.002,13107,1605,11108,84437,50150,1561
