图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
上帝掷骰子吗 : 量子物理史话,32.0,2006,中国,曹天元,辽宁教育出版社,9.2,34823,量子物理史话
"美丽新世界 BRAVE NEW WORLD, BRAVE NEW WORLD REVISITED",45.0,2017,英,奥尔德斯·赫胥黎,上海译文出版社,9.2,57032,无
一个叫欧维的男人决定去死 En man som heter Ove,35.0,2015,瑞典, 弗雷德里克·巴克曼,四川文艺出版社,9.1,68697,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
哭泣的骆驼,15.8,2003,中国,三毛,哈尔滨出版社,9.0,57559,沙漠中寻常的生与死
唐诗三百首,0.65,1984,中国,蘅塘退士,中华书局,9.4,27184,熟读唐诗三百首，不会吟诗也会吟
四世同堂,36.0,2008,中国,老舍,北京十月文艺出版社,9.4,40170,北平沦陷时代广大平民的悲惨遭遇
灿烂千阳 A Thousand Splendid Suns,28.0,2007,美, 卡勒德·胡赛尼,上海人民出版社,8.9,122596,唯有希望与爱可以驱散阴霾
美的历程,43.0,2009,中国,李泽厚,生活·读书·新知三联书店,9.2,32289,中国美学经典之作
文学回忆录 : 1989—1994,98.0,2013,中国,木心 口述,广西师范大学出版社,9.1,44499,木心留给世界的礼物
窗边的小豆豆 窓ぎわのトットちゃん,20.0,2003,日, 黑柳彻子,南海出版公司,8.8,211787,真正懂孩子的教育经
最好的告别 : 关于衰老与死亡，你必须知道的常识 Being Mortal: Medicine and What Matters in the End,54.9,2015,美, 阿图·葛文德(Atul Gawande),浙江人民出版社,9.0,51007,关于衰老与死亡，你必须知道的常识
人间词话,9.8,1998,中国,王国维,上海古籍出版社,9.0,55336,以新眼光评旧文学
绝叫 絕叫,58.0,2020,日, 叶真中显,北京联合出版公司,8.9,103988,无
呼兰河传 : 1947年版本・原版珍藏,19.0,2005,中国,萧红,百花文艺出版社,9.0,84198,萧红的童年往事
罪与罚 Преступление и наказание,23.0,2006,俄, 陀思妥耶夫斯基,上海译文出版社,9.3,35576,描绘人内心的全部深度
冬牧场,29.8,2012,中国,李娟,新星出版社,9.0,39612,阿勒泰的精灵
道德经,4.5,1996,中国,黄元吉,陕西人民出版社,9.5,20507,中国历史上首部完整的哲学著作
看见,39.8,2013,中国,柴静,广西师范大学出版社,8.8,338093,在这里看见中国
棋王·树王·孩子王 : 阿城文集 之一,58.0,2016,中国,阿城,江苏凤凰文艺出版社,9.2,28682,无
